,sample,spot_name,cluster
1,s1,spot1,1
2,s1,spot2,1
3,s1,spot3,1
4,s1,spot4,1
5,s1,spot5,1
6,s1,spot6,1
7,s1,spot7,1
8,s1,spot8,1
9,s1,spot9,1
10,s1,spot10,1
11,s1,spot11,1
12,s1,spot12,1
13,s1,spot13,1
14,s1,spot14,1
15,s1,spot15,1
16,s1,spot16,1
17,s1,spot17,1
18,s1,spot18,1
19,s1,spot19,1
20,s1,spot20,1
21,s1,spot21,1
22,s1,spot22,1
23,s1,spot23,1
24,s1,spot24,1
25,s1,spot25,1
26,s1,spot26,1
27,s1,spot27,1
28,s1,spot28,1
29,s1,spot29,1
30,s1,spot30,1
31,s1,spot31,1
32,s1,spot32,1
33,s1,spot33,1
34,s1,spot34,1
35,s1,spot35,1
36,s1,spot36,1
37,s1,spot37,1
38,s1,spot38,1
39,s1,spot39,1
40,s1,spot40,1
41,s1,spot41,1
42,s1,spot42,1
43,s1,spot43,1
44,s1,spot44,1
45,s1,spot45,1
46,s1,spot46,1
47,s1,spot47,1
48,s1,spot48,1
49,s1,spot49,1
50,s1,spot50,1
51,s1,spot51,1
52,s1,spot52,1
53,s1,spot53,1
54,s1,spot54,1
55,s1,spot55,1
56,s1,spot56,1
57,s1,spot57,1
58,s1,spot58,1
59,s1,spot59,1
60,s1,spot60,1
61,s1,spot61,1
62,s1,spot62,1
63,s1,spot63,1
64,s1,spot64,1
65,s1,spot65,1
66,s1,spot66,1
67,s1,spot67,1
68,s1,spot68,1
69,s1,spot69,1
70,s1,spot70,1
71,s1,spot71,1
72,s1,spot72,1
73,s1,spot73,1
74,s1,spot74,1
75,s1,spot75,1
76,s1,spot76,1
77,s1,spot77,1
78,s1,spot78,1
79,s1,spot79,1
80,s1,spot80,1
81,s1,spot81,1
82,s1,spot82,1
83,s1,spot83,1
84,s1,spot84,1
85,s1,spot85,1
86,s1,spot86,1
87,s1,spot87,1
88,s1,spot88,1
89,s1,spot89,1
90,s1,spot90,1
91,s1,spot91,1
92,s1,spot92,1
93,s1,spot93,1
94,s1,spot94,1
95,s1,spot95,1
96,s1,spot96,1
97,s1,spot97,1
98,s1,spot98,1
99,s1,spot99,1
100,s1,spot100,1
101,s1,spot101,3
102,s1,spot102,3
103,s1,spot103,3
104,s1,spot104,3
105,s1,spot105,3
106,s1,spot106,3
107,s1,spot107,1
108,s1,spot108,3
109,s1,spot109,3
110,s1,spot110,3
111,s1,spot111,3
112,s1,spot112,3
113,s1,spot113,3
114,s1,spot114,3
115,s1,spot115,3
116,s1,spot116,3
117,s1,spot117,3
118,s1,spot118,3
119,s1,spot119,3
120,s1,spot120,3
121,s1,spot121,3
122,s1,spot122,3
123,s1,spot123,3
124,s1,spot124,3
125,s1,spot125,3
126,s1,spot126,3
127,s1,spot127,3
128,s1,spot128,3
129,s1,spot129,3
130,s1,spot130,3
131,s1,spot131,3
132,s1,spot132,3
133,s1,spot133,3
134,s1,spot134,3
135,s1,spot135,3
136,s1,spot136,3
137,s1,spot137,3
138,s1,spot138,3
139,s1,spot139,3
140,s1,spot140,3
141,s1,spot141,3
142,s1,spot142,3
143,s1,spot143,3
144,s1,spot144,3
145,s1,spot145,3
146,s1,spot146,3
147,s1,spot147,3
148,s1,spot148,1
149,s1,spot149,3
150,s1,spot150,3
151,s1,spot151,3
152,s1,spot152,3
153,s1,spot153,3
154,s1,spot154,3
155,s1,spot155,3
156,s1,spot156,3
157,s1,spot157,3
158,s1,spot158,3
159,s1,spot159,3
160,s1,spot160,3
161,s1,spot161,3
162,s1,spot162,3
163,s1,spot163,3
164,s1,spot164,3
165,s1,spot165,3
166,s1,spot166,3
167,s1,spot167,3
168,s1,spot168,3
169,s1,spot169,3
170,s1,spot170,3
171,s1,spot171,3
172,s1,spot172,3
173,s1,spot173,3
174,s1,spot174,3
175,s1,spot175,3
176,s1,spot176,3
177,s1,spot177,3
178,s1,spot178,3
179,s1,spot179,3
180,s1,spot180,3
181,s1,spot181,3
182,s1,spot182,3
183,s1,spot183,3
184,s1,spot184,3
185,s1,spot185,3
186,s1,spot186,3
187,s1,spot187,3
188,s1,spot188,3
189,s1,spot189,3
190,s1,spot190,3
191,s1,spot191,3
192,s1,spot192,3
193,s1,spot193,3
194,s1,spot194,3
195,s1,spot195,3
196,s1,spot196,3
197,s1,spot197,3
198,s1,spot198,3
199,s1,spot199,3
200,s1,spot200,3
201,s1,spot201,3
202,s1,spot202,3
203,s1,spot203,3
204,s1,spot204,3
205,s1,spot205,3
206,s1,spot206,3
207,s1,spot207,3
208,s1,spot208,3
209,s1,spot209,3
210,s1,spot210,3
211,s1,spot211,3
212,s1,spot212,3
213,s1,spot213,3
214,s1,spot214,3
215,s1,spot215,3
216,s1,spot216,3
217,s1,spot217,3
218,s1,spot218,3
219,s1,spot219,3
220,s1,spot220,3
221,s1,spot221,3
222,s1,spot222,3
223,s1,spot223,3
224,s1,spot224,3
225,s1,spot225,3
226,s1,spot226,3
227,s1,spot227,3
228,s1,spot228,3
229,s1,spot229,3
230,s1,spot230,3
231,s1,spot231,3
232,s1,spot232,3
233,s1,spot233,3
234,s1,spot234,3
235,s1,spot235,3
236,s1,spot236,3
237,s1,spot237,3
238,s1,spot238,3
239,s1,spot239,3
240,s1,spot240,3
241,s1,spot241,3
242,s1,spot242,3
243,s1,spot243,3
244,s1,spot244,3
245,s1,spot245,3
246,s1,spot246,3
247,s1,spot247,3
