,sample,spot_name,cluster
0,slice1,spot1,3
1,slice1,spot2,3
2,slice1,spot3,3
3,slice1,spot4,3
4,slice1,spot5,3
5,slice1,spot6,3
6,slice1,spot7,3
7,slice1,spot8,3
8,slice1,spot9,3
9,slice1,spot10,3
10,slice1,spot11,3
11,slice1,spot12,3
12,slice1,spot13,3
13,slice1,spot14,3
14,slice1,spot15,3
15,slice1,spot16,3
16,slice1,spot17,3
17,slice1,spot18,2
18,slice1,spot19,2
19,slice1,spot20,2
20,slice1,spot21,3
21,slice1,spot22,3
22,slice1,spot23,3
23,slice1,spot24,3
24,slice1,spot25,3
25,slice1,spot26,3
26,slice1,spot27,3
27,slice1,spot28,3
28,slice1,spot29,3
29,slice1,spot30,3
30,slice1,spot31,3
31,slice1,spot32,3
32,slice1,spot33,3
33,slice1,spot34,3
34,slice1,spot35,3
35,slice1,spot36,3
36,slice1,spot37,3
37,slice1,spot38,2
38,slice1,spot39,3
39,slice1,spot40,3
40,slice1,spot41,3
41,slice1,spot42,3
42,slice1,spot43,2
43,slice1,spot44,3
44,slice1,spot45,3
45,slice1,spot46,3
46,slice1,spot47,3
47,slice1,spot48,3
48,slice1,spot49,3
49,slice1,spot50,3
50,slice1,spot51,3
51,slice1,spot52,3
52,slice1,spot53,3
53,slice1,spot54,3
54,slice1,spot55,3
55,slice1,spot56,3
56,slice1,spot57,3
57,slice1,spot58,3
58,slice1,spot59,3
59,slice1,spot60,3
60,slice1,spot61,3
61,slice1,spot62,3
62,slice1,spot63,3
63,slice1,spot64,3
64,slice1,spot65,3
65,slice1,spot66,2
66,slice1,spot67,3
67,slice1,spot68,3
68,slice1,spot69,3
69,slice1,spot70,3
70,slice1,spot71,3
71,slice1,spot72,3
72,slice1,spot73,3
73,slice1,spot74,3
74,slice1,spot75,3
75,slice1,spot76,3
76,slice1,spot77,2
77,slice1,spot78,3
78,slice1,spot79,2
79,slice1,spot80,3
80,slice1,spot81,3
81,slice1,spot82,3
82,slice1,spot83,3
83,slice1,spot84,3
84,slice1,spot85,3
85,slice1,spot86,2
86,slice1,spot87,3
87,slice1,spot88,3
88,slice1,spot89,3
89,slice1,spot90,3
90,slice1,spot91,3
91,slice1,spot92,3
92,slice1,spot93,3
93,slice1,spot94,2
94,slice1,spot95,2
95,slice1,spot96,3
96,slice1,spot97,3
97,slice1,spot98,3
98,slice1,spot99,3
99,slice1,spot100,3
100,slice1,spot101,2
101,slice1,spot102,2
102,slice1,spot103,2
103,slice1,spot104,2
104,slice1,spot105,2
105,slice1,spot106,2
106,slice1,spot107,2
107,slice1,spot108,2
108,slice1,spot109,2
109,slice1,spot110,2
110,slice1,spot111,2
111,slice1,spot112,2
112,slice1,spot113,2
113,slice1,spot114,2
114,slice1,spot115,2
115,slice1,spot116,2
116,slice1,spot117,2
117,slice1,spot118,2
118,slice1,spot119,0
119,slice1,spot120,2
120,slice1,spot121,2
121,slice1,spot122,2
122,slice1,spot123,2
123,slice1,spot124,0
124,slice1,spot125,2
125,slice1,spot126,2
126,slice1,spot127,2
127,slice1,spot128,2
128,slice1,spot129,2
129,slice1,spot130,2
130,slice1,spot131,2
131,slice1,spot132,3
132,slice1,spot133,0
133,slice1,spot134,2
134,slice1,spot135,2
135,slice1,spot136,2
136,slice1,spot137,2
137,slice1,spot138,2
138,slice1,spot139,0
139,slice1,spot140,2
140,slice1,spot141,2
141,slice1,spot142,2
142,slice1,spot143,2
143,slice1,spot144,2
144,slice1,spot145,2
145,slice1,spot146,2
146,slice1,spot147,2
147,slice1,spot148,3
148,slice1,spot149,2
149,slice1,spot150,2
150,slice1,spot151,2
151,slice1,spot152,2
152,slice1,spot153,2
153,slice1,spot154,3
154,slice1,spot155,0
155,slice1,spot156,2
156,slice1,spot157,2
157,slice1,spot158,0
158,slice1,spot159,2
159,slice1,spot160,0
160,slice1,spot161,2
161,slice1,spot162,2
162,slice1,spot163,2
163,slice1,spot164,2
164,slice1,spot165,0
165,slice1,spot166,2
166,slice1,spot167,2
167,slice1,spot168,2
168,slice1,spot169,2
169,slice1,spot170,2
170,slice1,spot171,0
171,slice1,spot172,2
172,slice1,spot173,2
173,slice1,spot174,2
174,slice1,spot175,2
175,slice1,spot176,2
